sample_id	unit	lib_type	fq1	fq2
1777_Trip_Group1	1	pe	tests/data/1777_R1.fq.gz	tests/data/1777_R2.fq.gz
2072_Trip_Group1	1	pe	tests/data/2072_R1.fq.gz	tests/data/2072_R2.fq.gz
1103_Trip_Group2	1	pe	tests/data/1103_R1.fq.gz	tests/data/1103_R2.fq.gz
1559_Trip_Group3	1	se	tests/data/1559_R1.fq.gz	
1043_Trip_Group4	1	pe	tests/data/1043_R1.fq.gz	tests/data/1043_R2.fq.gz
1542_Trip_Group4	2	pe	tests/data/1542_R1.fq.gz	tests/data/1542_R2.fq.gz
1415_Dip_Ungroup	1	pe	tests/data/1415_R1.fq.gz	tests/data/1415_R2.fq.gz
